IAU_Name,RA_deg,Dec_deg,Cross_ID,Spectral_Type,Crowding_Category,d_arcsec,Delta_m12_F275W,F_WR_F275W,F_WR_F475W,F_WR_F814W,mag_F275W,e_mag_F275W,mag_F336W,e_mag_F336W,mag_F475W,e_mag_F475W,mag_F814W,e_mag_F814W,mag_F110W,e_mag_F110W,mag_F160W,e_mag_F160W,Coord_Source,DEIMOS_Flag
M33 J013232.04+303522.3,23.1335,30.5895,---,WN2,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013232.10+303514.2,23.1337,30.5873,---,WN3+neb,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013233.21+302652.2,23.1384,30.4478,---,WN2+abs,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013237.59+304004.2,23.1566,30.6678,MCA 1,WC,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013237.69+304005.6,23.1570,30.6682,UIT 003,Ofpe/WN9,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013240.79+302454.2,23.1699,30.4151,MC 1,WNE,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013241.36+303416.1,23.1723,30.5711,---,WN3h,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013241.92+304024.5,23.1747,30.6735,MC 2,WCE,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013245.38+303858.2,23.1891,30.6495,UIT 008,Ofpe/WN9,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013245.71+303854.3,23.1904,30.6484,MC 3,WN2+O7,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013245.81+302019.4,23.1909,30.3387,---,WC4+neb,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013255.88+303155.8,23.2328,30.5322,MC 4,WC4,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013256.32+303535.3,23.2347,30.5931,OB 21-65,WN6+abs,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013256.81+302724.8,23.2367,30.4569,MC 5,WN,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013257.29+304418.0,23.2387,30.7383,---,WN3+neb,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013257.85+303549.7,23.2410,30.5971,MC 6,WC4,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013300.17+303015.2,23.2507,30.5042,MJ E1,WN8,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013302.25+301119.0,23.2594,30.1886,K10-01,WN3+neb,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013302.64+303120.0,23.2610,30.5222,MC 7,WN3,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013302.91+301122.7,23.2621,30.1896,MC8,WNE,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013303.16+301124.1,23.2632,30.1900,MC9,WNE,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013303.18+303408.5,23.2632,30.5690,MC 10,WN6,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013303.68+302326.2,23.2653,30.3906,MC 11,WC,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013304.95+303159.7,23.2706,30.5332,MC 12,WNE,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013305.64+302857.5,23.2735,30.4826,MC 13,WNE,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013307.47+304258.4,23.2811,30.7162,UIT 041,WN2,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013307.65+303315.3,23.2819,30.5542,MC 14,WN4,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013307.77+302951.0,23.2824,30.4975,MC 15,WNE,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013308.53+302805.5,23.2855,30.4682,MC 16,WNE,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013309.11+304954.4,23.2879,30.8318,UIT 045,Ofpe/WN9,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013310.71+303900.1,23.2946,30.6500,MCA 2,WN,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013310.74+302734.1,23.2947,30.4595,MJ-E16,WN4,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013311.10+303916.7,23.2962,30.6546,---,WN3+abs,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013311.26+303146.8,23.2969,30.5297,MJ-E34,WN4+B2I,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013311.41+304856.8,23.2975,30.8158,UIT 052,WNE+B3 I,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013311.82+303852.6,23.2992,30.6479,MC 17,WNL,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013312.18+302740.4,23.3007,30.4612,MJ E5,WN,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013312.41+303847.9,23.3017,30.6466,N592-WR2,WN3+neb,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013312.51+303900.2,23.3021,30.6501,---,WN/C+abs,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013312.58+304530.9,23.3024,30.7586,---,WN4,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013312.92+304459.3,23.3038,30.7498,MC 18,WN,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013314.31+302955.2,23.3096,30.4987,MJ E6,WN,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013314.53+305319.5,23.3105,30.8888,---,WN3+neb,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013314.99+303906.8,23.3124,30.6519,MC 19,WC5-6,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013315.28+304503.4,23.3137,30.7509,MC 20,"WN3, WN/CE",---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013315.40+302300.0,23.3142,30.3833,---,WN3,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013315.52+304514.0,23.3147,30.7539,MC 21,WN3+neb,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013315.79+305644.7,23.3158,30.9458,MC 23,WN4.5+O,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013316.14+304751.7,23.3172,30.7977,MC 22,WC4,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013316.45+303221.2,23.3185,30.5392,MCA 3,WNL,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013318.47+302658.1,23.3269,30.4495,MC 24,WC4-5,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013324.01+305030.6,23.3500,30.8418,---,WN8,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013326.57+303550.1,23.3607,30.5973,---,WN6,Isolated,0.1280,3.6600,0.8160,,,,,,,,,,,,,,,PHATTER,0
M33 J013326.64+304040.2,23.3610,30.6778,AM 1,WC6,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013327.22+303909.1,23.3634,30.6525,MJ C7,Ofpe/WN9,Isolated,0.1120,7.2900,0.9770,,,,,,,,,,,,,,,PHATTER,1
M33 J013327.72+303150.7,23.3655,30.5308,MC 27,WN,Isolated,0.1450,4.7800,0.9260,,,,,,,,,,,,,,,PHATTER,0
M33 J013330.32+303128.5,23.3763,30.5246,---,WN4,Isolated,0.1090,2.8000,0.7040,,,,,,,,,,,,,,,PHATTER,0
M33 J013332.60+304127.1,23.3858,30.6909,AM 2,WNL/LBVi,Isolated,0.1110,4.4600,0.9560,,,,,,,,,,,,,,,PHATTER,0
M33 J013332.79+304146.0,23.3866,30.6961,AM 3,WN7,Isolated,0.0730,6.0400,0.9660,,,,,,,,,,,,,,,PHATTER,0
M33 J013332.93+304136.0,23.3872,30.6933,AM 4,WNL,Isolated,0.0480,7.8400,0.9630,,,,,,,,,,,,,,,PHATTER,1
M33 J013333.26+304129.6,23.3886,30.6915,AM 5,WC6,Moderately Crowded,0.1750,0.7400,0.4060,,,,,,,,,,,,,,,PHATTER,0
M33 J013333.47+304133.2,23.3894,30.6926,MC 30,WNL?,Isolated,0.1590,2.3000,0.9030,,,,,,,,,,,,,,,PHATTER,0
M33 J013333.70+304134.1,23.3904,30.6928,MC 31,WNLx2?,Moderately Crowded,0.2330,1.8000,0.5300,,,,,,,,,,,,,,,PHATTER,0
M33 J013333.79+304129.7,23.3908,30.6916,N595-WR9,WN7,Very Crowded,0.2490,0.1200,0.3220,,,,,,,,,,,,,,,PHATTER,0
M33 J013334.01+304117.1,23.3917,30.6881,MCA 4,WN,Isolated,0.0270,6.3200,0.9410,,,,,,,,,,,,,,,PHATTER,1
M33 J013334.21+304137.9,23.3925,30.6939,AM 6,WN7,Isolated,0.2500,7.0900,0.7780,,,,,,,,,,,,,,,PHATTER,0
M33 J013334.23+304136.6,23.3926,30.6935,---,WNL+neb,Isolated,0.0960,6.3100,0.9030,,,,,,,,,,,,,,,PHATTER,0
